VIN,year,znamka,model,state,city,price,miles,accidents,use,owners,MPG_city,MPG_highway,engine,transmission,drive_type,exterior,interior
5UXCR6C02LLL65363,2020,bmw,x5,PA,Plains,44779,47025,0,Personal,1,20,26,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Green,Black
WBA5R7C05LFH83219,2020,bmw,3-series,NC,Zebulon,30899,61111,1,Personal,1,25,34,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Silver,Black
5UXKR0C59G0P25630,2016,bmw,x5,CA,Mountain View,29986,44086,0,Fleet,3,18,24,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,White,Black
3MW53CM08N8C36365,2022,bmw,2-series,CA,Murrieta,57900,2232,0,Personal,1,23,32,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Blue,Beige
5UXJU4C08P9N76919,2023,bmw,x5,TX,Dallas,84990,1005,0,Personal,0,16,22,4.4L V-8 Gas Turbocharged,Automatic,AWD,Blue,Black
WBXHT3C36J5K21787,2018,bmw,x1,TX,Plano,27383,43103,0,Personal,1,22,31,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,White,Black
5UXCW2C09L9B98307,2020,bmw,x7,MA,Pembroke,63249,28226,0,Fleet,1,20,25,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Black,Black
WBA4B1C58GG242719,2016,bmw,4-series,FL,Orlando,23995,54670,0,Personal,1,20,31,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,White,Black
WBAHF3C09NWX79026,2022,bmw,z4,MA,Norwood,56487,1184,0,Personal,1,25,32,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Red,Brown
WBADW3C5XBE538510,2011,bmw,3-series,MD,Suitland,17000,64041,0,Personal,3,18,28,3.0L Inline-6 Gas,Automatic,RWD,Blue,Black
WBA7F0C59KGM24272,2019,bmw,7-series,NC,Salisbury,40900,76510,1,Personal,2,18,26,4.4L V-8 Gas Turbocharged,Automatic,RWD,Silver,Black
5UXCX6C05LLE35818,2020,bmw,x7,AZ,Tucson,75828,47920,0,Personal,1,15,21,4.4L V-8 Gas Turbocharged,Automatic,AWD,White,Brown
5UXCX4C56KLS35641,2019,bmw,x7,CA,Walnut Creek,70500,29348,0,Personal,1,15,21,4.4L V-8 Gas Turbocharged,Automatic,AWD,Black,Brown
WBA8D9C51JA615989,2018,bmw,3-series,MA,Tyngsboro,28915,45561,0,Personal,2,23,33,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Black,Black
WBA2K9C59HV646941,2017,bmw,2-series,GA,Warner Robins,28996,32572,0,Personal,2,23,34,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Brown,Brown
WBAPH57549NM33615,2009,bmw,3-series,CA,Santa Ana,6950,134636,1,Personal,2,18,28,3.0L Inline-6 Gas,Automatic,RWD,Silver,Unknown
WBADZ4C0XLCD03333,2020,bmw,8-series,NY,Bay Shore,78756,14447,0,Personal,1,21,27,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,White,Black
5UXCR6C08N9L89604,2022,bmw,x5,CA,Fremont,66038,2172,0,Personal,1,21,25,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Gray,Black
5UX2V5C08L9B33903,2020,bmw,x4,CO,Loveland,56543,26744,0,Personal,2,21,27,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Black,Black
5UXTR7C59KLR39781,2019,bmw,x3,CA,San Jose,27800,66581,0,Personal,2,23,30,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Black
WBA8A9C51JAH12749,2018,bmw,3-series,FL,Sarasota,22388,51715,0,Personal,3,24,35,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gray,Beige
WBA4J1C54KBM14270,2019,bmw,4-series,FL,Miami Gardens,25998,45505,0,Personal,1,24,34,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gray,Black
WBA5B1C59ED479268,2014,bmw,5-series,CA,Van Nuys,16888,79440,0,Fleet,3,20,30,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,White,Black
5UXJU2C51KLN64672,2019,bmw,x5,IN,Fishers,59299,22210,0,Personal,2,17,22,4.4L V-8 Gas Turbocharged,Automatic,AWD,Gray,Black
WBS33AZ05NCJ07170,2022,bmw,m4,FL,St. Petersburg,93992,1457,0,Personal,1,16,23,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Blue,White
WBA3C1C58EK106867,2014,bmw,3-series,CA,Mountain View,17952,67892,1,Personal,2,23,35,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Beige
5YMKT6C31H0U39641,2017,bmw,x5-m,PA,Pittsburgh,47400,80376,1,Personal,1,14,19,4.4L V-8 Gas Turbocharged,Automatic,AWD,Black,Beige
5UXCR6C02LLL81563,2020,bmw,x5,FL,Sarasota,51990,29790,0,Personal,1,20,26,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Gray,Black
WBXJG7C07M5U33038,2021,bmw,x1,TX,Beaumont,35977,15125,0,Personal,0,24,33,2.0L Inline-4 Gas Turbocharged,Automatic,FWD,White,Black
5UXCR6C59KLL09978,2019,bmw,x5,VA,Chantilly,45999,57949,0,Personal,1,20,26,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Black,Beige
WBA7H6C57KG615248,2019,bmw,7-series,IL,Burbank,77980,40985,0,Fleet,1,13,20,6.6L V-12 Gas Turbocharged,Automatic,AWD,Gray,Black
WBAFR9C53DDX80678,2013,bmw,5-series,CA,Inglewood,14999,108511,0,Personal,3,17,25,4.4L V-8 Gas Turbocharged,Automatic,RWD,Unknown,Unknown
5UXTY5C06LLT38650,2020,bmw,x3,NJ,Englewood,36990,28226,0,Personal,1,24,29,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,White,Brown
5UXTR7C58KLF37639,2019,bmw,x3,CA,Glendale,30994,47444,0,Personal,1,23,30,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Black,Black
WBSGV0C00LCD88941,2020,bmw,m8,NJ,Butler,105888,18723,0,Personal,0,15,21,4.4L V-8 Gas Turbocharged,Automatic,AWD,White,Black
WBXYJ3C58K5N28113,2019,bmw,x2,FL,Miami,31992,17168,0,Personal,2,23,32,2.0L Inline-4 Gas Turbocharged,Automatic,FWD,Silver,Beige
3MW5R1J03M8B82317,2021,bmw,3-series,TX,Richardson,32987,43451,0,Fleet,1,26,36,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gray,Black
5UXCW2C59KL082213,2019,bmw,x7,TX,The Woodlands,55382,56732,0,Personal,1,20,25,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Gray,White
5UXTY5C0XL9B12448,2020,bmw,x3,GA,Duluth,39444,11482,0,Personal,1,24,29,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gray,Black
5UXCR6C03N9N07252,2022,bmw,x5,PA,Fort Washington,67560,1264,0,Personal,0,21,25,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Black,Beige
5UXWX9C58G0D80878,2016,bmw,x3,VA,Fairfax,22999,60797,0,Personal,3,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,White,Beige
WBA3N3C51EF711053,2014,bmw,4-series,TX,McKinney,15699,108209,1,Personal,3,23,35,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Silver,Black
WBY1Z8C5XHV551792,2017,bmw,i3,CA,San Mateo,23998,47625,0,Fleet,2,0,0,0.6L Inline-2 Plug-In Hybrid,Automatic,RWD,Black,Gray
5UXKS4C35H0U06043,2017,bmw,x5,WA,Kirkland,35971,53297,0,Personal,1,23,29,3.0L Inline-6 Diesel Turbocharged,Automatic,AWD,Green,Black
WBS33AY0XMFL02342,2021,bmw,m3,AZ,Phoenix,90020,7385,0,Personal,2,16,23,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Yellow,Black
5UXCR6C59KLL06126,2019,bmw,x5,FL,Fort Walton Beach,48000,27858,0,Fleet,1,20,26,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Gray,Black
WBA7E4C55HGU99084,2017,bmw,7-series,TX,Killeen,36876,49860,0,Fleet,2,19,28,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Gray,Black
WBS8M9C51J5K99773,2018,bmw,m3,NY,Bay Shore,59255,30083,0,Personal,2,17,25,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Yellow,Orange
5UXKU2C55F0F95244,2015,bmw,x6,WA,Bellingham,34850,49557,0,Personal,0,18,27,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Unknown,Black
WBA5R1C02LFH49168,2020,bmw,3-series,TX,Plano,37751,38040,0,Personal,1,26,36,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Black
5UXTY5C00M9H24689,2021,bmw,x3,WA,Tacoma,37995,34610,0,Personal,1,23,29,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gray,Black
WBXHT3C37G5E56422,2016,bmw,x1,TX,Corinth,21487,70398,0,Personal,2,22,32,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,White,Black
WBSBL93423JR21663,2003,bmw,m3,VA,Virginia Beach,21995,117269,0,Personal,6,16,24,3.2L Inline-6 Gas,Manual,RWD,Silver,Gray
WBA3A5C52DF357601,2013,bmw,3-series,WA,Everett,13999,97673,0,Personal,2,22,34,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Silver,Black
5UXCY8C00M9E98039,2021,bmw,x6,CA,National City,80947,20766,0,Personal,2,16,22,4.4L V-8 Gas Turbocharged,Automatic,AWD,Black,White
5UXKR0C55E0H22370,2014,bmw,x5,NY,East Meadow,19897,99525,0,Personal,2,18,27,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,White,Beige
WBA5R1C52KAK11459,2019,bmw,3-series,NC,Durham,33967,29451,1,Personal,1,26,36,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Beige
WBA6B4C53ED099168,2014,bmw,6-series,MI,Grand Rapids,27495,112804,0,Personal,2,16,24,4.4L V-8 Gas Turbocharged,Automatic,AWD,Black,Black
WBA2J3C03L7E53589,2020,bmw,2-series,GA,Albany,33499,28683,0,Personal,1,21,31,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Black,Black
5UXCR6C54KLL52687,2019,bmw,x5,MA,Milford,51499,16930,0,Fleet,1,20,26,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,White,Black
WBS3R9C5XGK337507,2016,bmw,m4,PA,Pittsburgh,39999,84663,0,Fleet,3,17,26,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Yellow,Red
